Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.51     0.00    39981     0.00     0.00  char* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.00      3.51     0.00    39981     0.00     0.00  char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.00      3.51     0.00    39981     0.00     0.00  char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, char>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, std::allocator<char>&)
  0.00      3.51     0.00    39981     0.00     0.00  char* std::copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.00      3.51     0.00    36996     0.00     0.00  MatrixB::set(unsigned long, std::vector<char, std::allocator<char> >, bool)
  0.00      3.51     0.00    29043     0.00     0.00  std::remove_reference<char*&>::type&& std::move<char*&>(char*&)
  0.00      3.51     0.00    19327     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<char>::__value, char*>::__type std::__fill_n_a<unsigned long, char>(char*, unsigned long, char const&)
  0.00      3.51     0.00    19327     0.00     0.00  char* std::fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)
  0.00      3.51     0.00    19327     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<char>::__value, void>::__type std::__fill_a<char>(char*, char*, char const&)
  0.00      3.51     0.00    18583     0.00     0.00  void std::__uninitialized_fill_n<true>::__uninit_fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)
  0.00      3.51     0.00    18583     0.00     0.00  void std::uninitialized_fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)
  0.00      3.51     0.00    18583     0.00     0.00  void std::__uninitialized_fill_n_a<char*, unsigned long, char, char>(char*, unsigned long, char const&, std::allocator<char>&)
  0.00      3.51     0.00    18498     0.00     0.00  std::vector<char, std::allocator<char> >::_M_fill_initialize(unsigned long, char const&)
  0.00      3.51     0.00    18498     0.00     0.00  std::vector<char, std::allocator<char> >::vector(unsigned long, char const&, std::allocator<char> const&)
  0.00      3.51     0.00    10929     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      3.51     0.00    10554     0.00     0.00  Matrix<PossibleCombinations>::operator()(unsigned long, unsigned long)
  0.00      3.51     0.00    10554     0.00     0.00  std::vector<PossibleCombinations, std::allocator<PossibleCombinations> >::operator[](unsigned long)
  0.00      3.51     0.00     9681     0.00     0.00  void std::swap<char*>(char*&, char*&)
  0.00      3.51     0.00     9257     0.00     0.00  PossibleCombinations::getNAllCombinations() const
  0.00      3.51     0.00     9257     0.00     0.00  PossibleCombinations::getDim() const
  0.00      3.51     0.00     9257     0.00     0.00  MatrixB::anyInRow(unsigned long) const
  0.00      3.51     0.00     5169     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00      3.51     0.00     4512     0.00     0.00  std::remove_reference<std::vector<char, std::allocator<char> >&>::type&& std::move<std::vector<char, std::allocator<char> >&>(std::vector<char, std::allocator<char> >&)
  0.00      3.51     0.00     3227     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_M_swap_data(std::_Vector_base<char, std::allocator<char> >::_Vector_impl&)
  0.00      3.51     0.00     2700     0.00     0.00  PossibleCombinations* std::__addressof<PossibleCombinations>(PossibleCombinations&)
  0.00      3.51     0.00     2548     0.00     0.00  __gnu_cxx::__normal_iterator<PossibleCombinations const*, std::vector<PossibleCombinations, std::allocator<PossibleCombinations> > >::base() const
  0.00      3.51     0.00     2301     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.51     0.00     1942     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char>&&)
  0.00      3.51     0.00     1942     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::_Vector_base<char, std::allocator<char> >&&)
  0.00      3.51     0.00     1942     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> >&&)
  0.00      3.51     0.00     1926     0.00     0.00  std::remove_reference<MatrixB&>::type&& std::move<MatrixB&>(MatrixB&)
  0.00      3.51     0.00     1828     0.00     0.00  std::move_iterator<char*>::base() const
  0.00      3.51     0.00     1828     0.00     0.00  std::_Iter_base<std::move_iterator<char*>, true>::_S_base(std::move_iterator<char*>)
  0.00      3.51     0.00     1828     0.00     0.00  std::move_iterator<char*>::move_iterator(char*)
  0.00      3.51     0.00     1828     0.00     0.00  std::_Miter_base<std::move_iterator<char*> >::iterator_type std::__miter_base<std::move_iterator<char*> >(std::move_iterator<char*>)
  0.00      3.51     0.00     1828     0.00     0.00  std::move_iterator<char*> std::__make_move_if_noexcept_iterator<char*, std::move_iterator<char*> >(char*)
  0.00      3.51     0.00     1781     0.00     0.00  MatrixB::~MatrixB()
  0.00      3.51     0.00     1658     0.00     0.00  std::vector<char, std::allocator<char> >::max_size() const
  0.00      3.51     0.00     1658     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<char> >::__maxsize_helper<std::allocator<char> const>::value, unsigned long>::type std::allocator_traits<std::allocator<char> >::_S_max_size<std::allocator<char> const>(std::allocator<char> const&)
  0.00      3.51     0.00     1658     0.00     0.00  std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&)
  0.00      3.51     0.00     1350     0.00     0.00  PossibleCombinations::~PossibleCombinations()
  0.00      3.51     0.00     1350     0.00     0.00  void std::_Destroy<PossibleCombinations>(PossibleCombinations*)
  0.00      3.51     0.00     1285     0.00     0.00  MatrixB::operator=(MatrixB&&)
  0.00      3.51     0.00     1285     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_propagate_on_move_assign()
  0.00      3.51     0.00     1285     0.00     0.00  std::vector<char, std::allocator<char> >::_M_move_assign(std::vector<char, std::allocator<char> >&&, std::integral_constant<bool, true>)
  0.00      3.51     0.00     1285     0.00     0.00  std::vector<char, std::allocator<char> >::operator=(std::vector<char, std::allocator<char> >&&)
  0.00      3.51     0.00     1285     0.00     0.00  void std::__alloc_on_move<std::allocator<char> >(std::allocator<char>&, std::allocator<char>&)
  0.00      3.51     0.00     1285     0.00     0.00  void std::__do_alloc_on_move<std::allocator<char> >(std::allocator<char>&, std::allocator<char>&, std::integral_constant<bool, true>)
  0.00      3.51     0.00     1274     0.00     0.00  bool __gnu_cxx::operator!=<PossibleCombinations const*, std::vector<PossibleCombinations, std::allocator<PossibleCombinations> > >(__gnu_cxx::__normal_iterator<PossibleCombinations const*, std::vector<PossibleCombinations, std::allocator<PossibleCombinations> > > const&, __gnu_cxx::__normal_iterator<PossibleCombinations const*, std::vector<PossibleCombinations, std::allocator<PossibleCombinations> > > const&)
  0.00      3.51     0.00     1261     0.00     0.00  std::string const& std::forward<std::string const&>(std::remove_reference<std::string const&>::type&)
  0.00      3.51     0.00     1260     0.00     0.00  PossibleCombinations::PossibleCombinations(PossibleCombinations const&)
  0.00      3.51     0.00     1260     0.00     0.00  __gnu_cxx::__normal_iterator<PossibleCombinations const*, std::vector<PossibleCombinations, std::allocator<PossibleCombinations> > >::operator++()
  0.00      3.51     0.00     1260     0.00     0.00  __gnu_cxx::__normal_iterator<PossibleCombinations const*, std::vector<PossibleCombinations, std::allocator<PossibleCombinations> > >::operator*() const
  0.00      3.51     0.00     1260     0.00     0.00  void std::_Construct<PossibleCombinations, PossibleCombinations const&>(PossibleCombinations*, PossibleCombinations const&)
  0.00      3.51     0.00     1260     0.00     0.00  PossibleCombinations const& std::forward<PossibleCombinations const&>(std::remove_reference<PossibleCombinations const&>::type&)
  0.00      3.51     0.00     1134     0.00     0.00  std::remove_reference<unsigned char*&>::type&& std::move<unsigned char*&>(unsigned char*&)
  0.00      3.51     0.00     1125     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      3.51     0.00     1076     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.51     0.00     1040     0.00     0.00  unsigned char&& std::forward<unsigned char>(std::remove_reference<unsigned char>::type&)
  0.00      3.51     0.00      914     0.00     0.00  char* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.00      3.51     0.00      914     0.00     0.00  char* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<char*>, char*>(std::move_iterator<char*>, std::move_iterator<char*>, char*)
  0.00      3.51     0.00      914     0.00     0.00  char* std::__copy_move_a<true, char*, char*>(char*, char*, char*)
  0.00      3.51     0.00      914     0.00     0.00  char* std::__copy_move_a2<true, char*, char*>(char*, char*, char*)
  0.00      3.51     0.00      914     0.00     0.00  char* std::uninitialized_copy<std::move_iterator<char*>, char*>(std::move_iterator<char*>, std::move_iterator<char*>, char*)
  0.00      3.51     0.00      914     0.00     0.00  char* std::__uninitialized_copy_a<std::move_iterator<char*>, char*, char>(std::move_iterator<char*>, std::move_iterator<char*>, char*, std::allocator<char>&)
  0.00      3.51     0.00      914     0.00     0.00  char* std::__uninitialized_move_if_noexcept_a<char*, char*, std::allocator<char> >(char*, char*, char*, std::allocator<char>&)
  0.00      3.51     0.00      914     0.00     0.00  char* std::copy<std::move_iterator<char*>, char*>(std::move_iterator<char*>, std::move_iterator<char*>, char*)
  0.00      3.51     0.00      890     0.00     0.00  std::move_iterator<std::string*>::base() const
  0.00      3.51     0.00      839     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl()
  0.00      3.51     0.00      839     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base()
  0.00      3.51     0.00      829     0.00     0.00  std::vector<char, std::allocator<char> >::_M_check_len(unsigned long, char const*) const
  0.00      3.51     0.00      744     0.00     0.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<char*, unsigned long>(char*, unsigned long)
  0.00      3.51     0.00      744     0.00     0.00  std::vector<char, std::allocator<char> >::_M_default_append(unsigned long)
  0.00      3.51     0.00      744     0.00     0.00  std::vector<char, std::allocator<char> >::resize(unsigned long)
  0.00      3.51     0.00      744     0.00     0.00  void std::__uninitialized_default_n<char*, unsigned long>(char*, unsigned long)
  0.00      3.51     0.00      744     0.00     0.00  void std::__uninitialized_default_n_a<char*, unsigned long, char>(char*, unsigned long, std::allocator<char>&)
  0.00      3.51     0.00      699     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00      3.51     0.00      688     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      3.51     0.00      680     0.00     0.00  std::istream_iterator<std::string, char, std::char_traits<char>, long>::~istream_iterator()
